timestamp,quantity,price,fee,amount,side,pnl,accumulated_pnl
2024-03-08 09:16,0.04290885,94093000,2018.71,4035403,1,4035403.71305,-4443847.371919999
2024-03-08 09:16,0.00099618,94093000,46.86,93686,1,93686.70473999999,-4350160.667179999
2024-03-08 09:16,0.00609497,94093000,286.74,573207,1,573207.27221,-3776953.394969999
2024-03-08 09:18,0.05,94003000,2350.07,-4702500,0,-4702500.07,-8479453.46497
2024-03-08 09:21,0.0107,94044000,503.13,-1006774,0,-1006773.9299999999,-9486227.39497
2024-03-08 09:33,0.05,94099000,2352.47,4702597,1,4702597.53,-4783629.8649699995
2024-03-08 09:47,0.045,94210000,2119.72,4237330,1,4237330.28,-546299.5849699993
2024-03-08 09:47,0.00512131,94228000,241.28,482329,1,482329.5186799999,-63970.06628999935
2024-03-08 09:48,0.05,94230000,2355.75,-4713856,0,-4713855.75,-4777825.8162899995
2024-03-08 09:48,0.05,94229000,2355.72,-4713806,0,-4713805.72,-9491631.53629
2024-03-08 10:01,0.05,94511000,2362.77,4723187,1,4723187.23,-4768444.306289999
2024-03-08 10:03,0.05,94374000,2359.35,-4721060,0,-4721059.35,-9489503.656289998
2024-03-08 10:11,0.1,94439000,4721.95,9439178,1,9439178.05,-50325.6062899977
2024-03-08 10:18,0.0229,94495000,1081.96,2162853,1,2162853.54,2112527.9337100023
2024-03-08 10:18,0.0074,94367000,349.15,-698665,0,-698664.9500000001,1413862.9837100022
2024-03-08 10:18,0.01546757,94368000,729.82,-1460374,0,-1460373.46576,-46510.482049997896
2024-03-08 10:27,0.05,94303000,2357.57,-4717508,0,-4717507.57,-4764018.052049998
2024-03-08 10:28,0.00819227,94374000,386.56,772750,1,772750.7289799999,-3991267.323069998
2024-03-08 10:28,0.04180773,94374000,1972.78,3943589,1,3943589.9310200005,-47677.39204999758
2024-03-08 10:54,0.02261087,94344000,1066.59,-2134267,0,-2134266.50928,-2181943.9013299975
2024-03-08 11:33,0.05,94386000,2359.65,-4721660,0,-4721659.65,-6903603.551329998
2024-03-08 11:53,0.00508257,94489000,240.12,480006,1,480006.83673,-6423596.714599999
2024-03-08 11:53,0.00206916,94489000,97.75,195415,1,195415.10924,-6228181.6053599985
2024-03-08 11:58,0.00386693,94564000,182.83,365489,1,365489.53852,-5862692.066839999
2024-03-08 11:58,0.00010574,94564000,4.99,9994,1,9994.20736,-5852697.859479998
2024-03-08 11:58,0.00621304,94564000,293.76,587236,1,587236.15456,-5265461.7049199985
2024-03-08 12:06,0.03381186,94518000,1597.91,-3197428,0,-3197427.29348,-8462888.998399999
2024-03-08 12:23,0.02443017,94848000,1158.57,2315994,1,2315994.1941600004,-6146894.804239999
2024-03-08 12:23,0.00527211,94848000,250.02,499799,1,499799.06928,-5647095.734959998
2024-03-08 12:23,0.00922787,94848000,437.62,874807,1,874807.3937600001,-4772288.341199998
2024-03-08 12:23,0.00948846,94848000,449.98,899511,1,899511.4740800001,-3872776.8671199977
